wine_ID,label
5316,6
5210,5
3518,6
1622,5
2443,5
3521,6
5211,5
4936,5
1161,6
5993,5
1035,6
3788,5
3130,6
864,6
4797,6
2572,5
3397,6
311,6
6404,6
882,7
5334,5
5045,5
502,5
1817,5
4434,6
3816,5
4315,7
4442,5
170,6
1748,6
3071,6
4275,6
4786,6
6263,5
2768,6
5697,6
1831,7
5452,5
6095,6
5579,6
3029,6
3694,5
641,5
5424,6
6380,6
1829,7
3476,7
48,5
3885,6
2799,7
1139,6
4323,6
5449,6
3728,7
3054,6
2657,6
3241,6
6022,6
3164,6
1990,5
444,6
6401,6
3141,6
4068,6
5838,7
982,7
831,6
202,5
4982,6
2830,6
1414,7
2806,5
1806,5
3537,6
910,5
2401,6
2066,6
6433,5
5126,6
4681,6
4459,6
4418,6
1362,6
2590,6
768,6
2308,5
2551,6
6247,6
4817,6
1696,5
861,6
4214,5
4948,5
6046,6
4184,6
1014,6
2033,6
2902,5
3493,7
1008,6
495,7
5615,5
3179,6
2115,5
5097,6
3617,5
737,5
6040,6
3605,5
1531,6
6450,6
3688,6
771,7
2303,5
2531,5
5658,5
3964,5
1034,5
5048,5
2619,5
98,5
4492,6
4972,5
2339,6
1364,6
3365,6
2234,6
2149,7
4337,8
5056,5
2270,6
2132,5
661,6
3482,7
1237,6
4901,5
4995,5
6203,5
5740,6
1785,6
2178,5
4033,6
4046,7
143,6
5928,6
5769,6
6106,7
6006,5
3414,6
6316,6
1644,6
499,5
729,5
5428,6
1828,6
3768,6
263,5
6144,5
3671,7
1570,5
4374,5
4954,5
3629,5
4456,5
5691,4
4688,6
3849,6
5077,5
3225,6
2070,5
2529,5
880,6
5592,5
4385,5
5921,7
6196,5
1467,7
2650,5
533,6
4587,6
1189,5
5070,5
3582,6
4988,5
3118,7
1524,5
528,7
6184,6
42,5
3932,6
4697,7
4202,6
3411,6
2141,5
1380,6
558,5
5644,5
2623,7
4189,5
1290,5
4549,5
6057,6
2235,5
4059,6
2756,5
6114,5
2193,6
1906,6
3955,6
3986,6
2323,6
5104,7
148,7
572,5
14,5
124,6
593,5
3961,5
4612,5
5168,6
2043,6
5295,6
2601,6
5655,5
1563,7
5169,7
2457,6
4630,6
5815,6
3175,6
2131,5
1281,7
1746,6
1391,7
3594,6
1615,6
979,6
3266,6
733,6
5190,6
2653,5
2526,7
526,6
4364,6
4762,6
5022,5
5959,6
1066,5
5540,5
2990,7
2714,5
4160,7
119,5
318,7
2817,7
6078,6
206,5
5612,5
4721,6
4482,6
3522,5
3382,6
3710,6
3545,6
1277,5
4231,6
6160,5
2456,6
3064,5
2224,7
4631,6
6145,5
1749,6
5907,6
4553,7
6231,5
6434,5
2819,6
6436,6
5058,5
3814,6
467,5
5352,6
3836,6
2824,5
4307,6
1145,5
5764,6
735,6
944,6
3407,5
2682,7
2407,6
3287,6
812,5
991,5
695,5
2631,7
4674,7
1132,5
3822,7
5970,6
1881,6
1001,6
1278,6
6158,5
5475,5
4783,6
4322,6
5397,6
5440,5
4711,6
4240,6
5342,6
5885,5
15,7
2795,6
144,6
252,5
519,6
287,7
597,6
5878,6
214,7
5488,5
2521,7
4937,5
3442,6
4778,6
12,6
5421,5
3981,6
4281,5
3895,6
472,6
993,5
2455,6
233,6
4534,6
4149,6
1160,6
2865,6
4314,7
509,7
1246,6
2915,6
1977,6
4150,5
1520,6
5698,5
5831,6
2891,6
5829,6
6235,5
4857,6
6119,6
1180,5
863,6
6245,5
3714,5
2949,5
2223,6
4285,6
2579,5
4431,6
294,5
2340,6
6174,6
693,5
2955,6
4324,6
5553,5
3158,7
1597,5
4379,5
6139,5
6234,5
2048,5
2931,8
5987,7
1870,6
4751,6
4246,6
347,6
2310,6
5919,6
5660,5
2534,6
4768,6
5195,6
6137,6
3438,5
773,6
1590,6
1571,5
5143,5
4479,5
1921,5
4127,5
3536,6
4359,5
1526,6
1051,5
5422,5
6210,5
3177,6
6473,6
4340,8
134,5
5817,6
3303,7
2172,5
3042,5
2984,6
2738,5
3450,7
840,7
1314,5
3635,7
3572,7
154,6
